Census year,Construction year,Number of floors (above ground),Predominant space use,x,y,Latitude,longitude
2017,2007,2,House/Townhouse,144.9428,-37.8026,-37.80258057,144.9427933
2017,2010,3,House/Townhouse,144.941,-37.7928,-37.79277172,144.940975
2017,1870,2,House/Townhouse,144.952,-37.803,-37.80302261,144.9519994
2017,,1,House/Townhouse,144.9732,-37.7939,-37.79389045,144.973243
2017,1890,1,Retail - Shop,144.9678,-37.7975,-37.79751335,144.9677611
2017,,1,House/Townhouse,144.9504,-37.8006,-37.80055638,144.9503579
2017,1900,1,House/Townhouse,144.9295,-37.7922,-37.79216739,144.9295203
2017,2017,2,Unoccupied - Under Construction,144.9814,-37.8355,-37.83549094,144.9814293
2017,1930,8,Office,144.9658,-37.8129,-37.81288669,144.9658492
2017,1930,1,Storage,144.9577,-37.8076,-37.80762482,144.9576703
2017,1980,7,Residential Apartment,144.9851,-37.8379,-37.83790808,144.9850871
2017,1925,1,House/Townhouse,144.9339,-37.7891,-37.78908006,144.9339365
2017,1865,2,Residential Apartment,144.9462,-37.8003,-37.80032036,144.9462278
2017,1961,12,Office,144.9648,-37.8125,-37.81252417,144.9648396
2017,1890,4,Residential Apartment,144.9662,-37.8011,-37.80114055,144.9662152
